lecture_name,professor_name,satisfaction,study_amount,difficulty,quality,achieve,text,recom,grade
회계학원리(영강),김재영 교수님 ,3,5,4,4,4,교수님 강의력이나 영어실력은 거의 탑급이라고 말할 수 있지만 영어 회화실력이 부족하거나 회계를 어려워하는 사람이라면 시험문제가 매우 매우 어렵게 느껴진다.,0,기대 이하
회계학원리(영강),김재영 교수님 ,4,4,3,5,4,"교수님께서 정말 좋으십니다. 회계 기초 지식을 어려움 없이 설명해주시고 학점도 잘 주시는 것 같습니다.
아무런 지식 없이 처음 회계를 접하는 사람이라면 꼭 들으라고 추천하고 싶은 강의입니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,4,5,4,아무리 비대면이라도 1교시는 힘들어요. 일단 강의는 매번 실시간으로 진행되고 과제는 이번 학기에 총 5번 정도 나온것 같습니다. 저는 공대 학생이라 영어로 된 경제 용어들 때문에 많이 헷갈렸습니다. 그래도 교수님이 영어도 매우 잘하시고 계속 다시 설명해주시고 한국말로도 설명해 주셔서 수업만 집중해서 들으시면 이해하는데 큰 어려움은 없습니다. 기말고사는 락다운 브라우저를 이용한 비대면 시험으로 치뤘습니다. 학점은 매우 잘 주시는 것 같습니다.,0,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,4,4,5,회계에 대해서 아무것도 모르는 상태에서 수업을 들었는데 교수님이 내용을 상세하게 설명해 주셔서 이해할 수 있었습니다. 다만 시험 난이도는 날뛰기가 심해서 공부할 때 철저하게 해야 합니다,1,보통
회계학원리(영강),김재영 교수님 ,5,5,4,5,5,"명강이라고 생각합니다. 수업 진행도 막힘없이 잘 이해할 수 있게끔 설명해주시고, 공부한 만큼의 학점을 주십니다! 중급회계까지 함께하고싶은 교수님이십니다.",1,보통
회계학원리(영강),김재영 교수님 ,4,4,4,4,5,"교수님이 영어를 정말 잘 하시고 학생들의 질문에도 잘 대답해주셔서 정말 좋았습니다.
학습량이 조금 많다고 느끼실 수도 있는데, 반복해서 하다보면 그리 어려운 내용도 아니니 충분히 다들 하실 수 있을 거라고 생각합니다",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,4,출석은 가끔 녹화 강의를 올려주시는 경우를 제외하곤 거의 매번 했습니다. 수업은 기본적으로 줌을 이용하여 실시간으로 진행합니다. 교수님께서 모든 학생들이 수업 진도를 따라올 수 있도록 신경써주시고 강의력도 좋은 편이어서 수업을 들을 때 큰 부담은 없었습니다. 과제는 교재 문제 풀이가 몇 번 있었는데 학점에 거의 영향은 없었습니다. 시험은 중간 기말 두 번 있었고 쉽진 않았지만 평소 수업을 잘 들어두고 시험 기간에 복습하며 문제를 조금 풀어본다면 에이쁠은 무난히 받아갈 수 있는 수업입니다.,1,보통
회계학원리(영강),김재영 교수님 ,5,4,3,4,4,"김재영 교수님은 엄청 열정적이시고 영어도 속시원하게 잘 하셔서 수업 듣는 게 너무 좋았어요 !
회계학원리라 그런지 수업 중에 학생들의 질문을 모~두 친절하게 답해주세요
저는 이메일로 질문한 적은 없었지만 이메일로 질문하면 답변도 잘 해주신다고 들었어요
학생들이 한 질문 중에서 몇 개 추려서 수업 시간에 설명해주시기도 해요
정말 천사 그 자체입니다

실시간 강의 방식을 고수하셔서 매번 줌으로 수업 하셨어요
출석체크를 매번 하시는 것 같았는데 확실하진 않아요
수업 중간에 랜덤으로 학생 이름 불러서 질문하셔서 줌 틀어만 놓고 자리 비운 학생들은 감점 받았어요

중간고사는 족보 그대로 나와서 평이했고, 기말도 타임어택 말고는 나름 괜찮았습니다
학점 정말 후하게 잘 주세요 ㅜㅜㅜ
교수님 짱입니다",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,3,5,5,"회계라고는 1도 모르는 사람이었는데
교수님의 설명이 너무 친절하시고 강의력 특히 영어를 너무 잘하셔서 성취감이 엄청났습니다.
교과서 문제 풀이 과제를 열심히 하면 시험부담도 크지 않고 시험 범위를 정해주실때도 학생들을 많이 배려 해주셔서 좋았습니다.

저는 중간고사에서 굉장히 높은 점수를 받았으나 기말고사에서 락다운 브라우저 에러로 미디언 정도 받아서
비제로 정도를 예상하고 교수님께 학점을 낮춰달라는 부탁을 드리려고 했는데
교수님께서 기술적 에러로 피해본 학생들의 이야기를 적극적으로 수용해주시고 구제방안을 바로 마련해 주셨습니다.
덕분에 에제를 받았습니다ㅜㅜ 감사합니다 교수님",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,교수님 발음과 목소리와 강의력이 정말 만족스러움. 중간고사는 거의 족보 그대로 나와서 쉬웠는데 기말고사는 족보도 없고 상당히 어려웠음. 그런데 학점을 정말 잘 줌. 그리고 과제도 거의 없음.,1,기대 이상
